# https://raw.githubusercontent.com/thoughtspot/ts-it-public/refs/heads/main/ts_security_greynoise_ip.txt

158.255.3.32/32     #  INC0011060    ; Added on 2023-02-06
158.255.7.209/32    #  INC0011060    ; Added on 2023-02-06
162.247.74.74/32    #  ITS-16365     ; Added on 2022-01-24
162.247.74.201/32   #  ITS-16365     ; Added on 2022-01-24
162.247.74.202/32   #  ITS-16365     ; Added on 2022-01-24
163.172.60.213/32   #  ITS-16365     ; Added on 2022-01-24
163.172.213.212/32  #  ITS-16365     ; Added on 2022-01-24
166.70.207.2/32     #  ITS-16365     ; Added on 2022-01-24
169.150.196.4/32    #  INC0015465    ; Added on 2023-12-26
171.25.193.20/32    #  ITS-16365     ; Added on 2022-01-24
171.25.193.25/32    #  ITS-16365     ; Added on 2022-01-24
171.25.193.77/32    #  ITS-16365     ; Added on 2022-01-24
171.25.193.78/32    #  ITS-16365     ; Added on 2022-01-24
172.106.17.218/32   #  ITS-16365     ; Added on 2022-01-24
175.6.53.38/32      #  INC0012268    ; Added on 2023-05-19
176.10.99.200/32    #  ITS-16365     ; Added on 2022-01-24
176.10.104.240/32   #  ITS-16365     ; Added on 2022-01-24
176.97.74.0/24      #  INC0021182    ; Added on 2024-11-25
178.17.170.23/32    #  ITS-16365     ; Added on 2022-01-24
178.17.170.135/32   #  ITS-16365     ; Added on 2022-01-24
178.17.171.102/32   #  ITS-16365     ; Added on 2022-01-24
178.17.171.150/32   #  ITS-16365     ; Added on 2022-01-24
178.17.174.14/32    #  ITS-16365     ; Added on 2022-01-24
178.20.55.16/32     #  ITS-16365     ; Added on 2022-01-24
178.124.134.106/32  #  INC0011060    ; Added on 2023-02-06
178.162.192.0/18    #  INC0021182    ; Added on 2024-11-25
178.248.232.121/32  #  INC0011060    ; Added on 2023-02-06
179.43.128.0/18     #  INC0015465    ; Added on 2023-12-27
179.60.149.0/24     #  INC0019077    ; Added on 2024-10-08
180.76.76.112/32    #  INC0011060    ; Added on 2023-02-06
185.4.132.183/32    #  ITS-16365     ; Added on 2022-01-24
185.10.68.168/32    #  ITS-16365     ; Added on 2022-01-24
185.11.61.0/24      #  INC0019077    ; Added on 2024-10-08
185.14.97.147/32    #  ITS-16365     ; Added on 2022-01-24
185.38.175.130/32   #  ITS-16365     ; Added on 2022-01-24
185.38.175.131/32   #  ITS-16365     ; Added on 2022-01-24
185.38.175.132/32   #  ITS-16365     ; Added on 2022-01-24
185.51.76.187/32    #  ITS-16365     ; Added on 2022-01-24
185.56.80.65/32     #  ITS-16365     ; Added on 2022-01-24
185.65.205.10/32    #  ITS-16365     ; Added on 2022-01-24
185.82.126.222/32   #  ITS-16365     ; Added on 2022-01-24
185.83.214.69/32    #  ITS-16365     ; Added on 2022-01-24
185.92.26.0/24      #  INC0021098    ; Added on 2024-11-19
185.100.86.128/32   #  ITS-16365     ; Added on 2022-01-24
185.100.87.41/32    #  ITS-16365     ; Added on 2022-01-24
185.100.87.139/32   #  ITS-16365     ; Added on 2022-01-24
185.100.87.174/32   #  ITS-16365     ; Added on 2022-01-24
185.100.87.202/32   #  ITS-16365     ; Added on 2022-01-24
185.107.47.171/32   #  ITS-16365     ; Added on 2022-01-24
185.107.47.215/32   #  ITS-16365     ; Added on 2022-01-24
185.107.70.56/32    #  ITS-16365     ; Added on 2022-01-24
185.112.144.68/32   #  ITS-16365     ; Added on 2022-01-24
185.113.128.30/32   #  ITS-16365     ; Added on 2022-01-24
185.129.61.1/32     #  ITS-16365     ; Added on 2022-01-24
185.129.61.4/32     #  ITS-16365     ; Added on 2022-01-24
185.129.61.5/32     #  ITS-16365     ; Added on 2022-01-24
185.130.44.108/32   #  ITS-16365     ; Added on 2022-01-24
185.165.168.77/32   #  ITS-16365     ; Added on 2022-01-24
185.165.169.18/32   #  ITS-16365     ; Added on 2022-01-24
185.165.171.175/32  #  ITS-16365     ; Added on 2022-01-24
185.170.114.25/32   #  ITS-16365     ; Added on 2022-01-24
185.170.144.0/24    #  INC0019077    ; Added on 2024-08-29
185.185.170.27/32   #  ITS-16365     ; Added on 2022-01-24
185.190.24.0/24     #  INC0019077    ; Added on 2024-08-29
185.200.116.0/22    #  INC0021182    ; Added on 2024-11-25
185.220.100.240/32  #  ITS-16365     ; Added on 2022-01-24
185.220.100.241/32  #  ITS-16365     ; Added on 2022-01-24
185.220.100.242/32  #  ITS-16365     ; Added on 2022-01-24
185.220.100.243/32  #  ITS-16365     ; Added on 2022-01-24
185.220.100.244/32  #  ITS-16365     ; Added on 2022-01-24
185.220.100.245/32  #  ITS-16365     ; Added on 2022-01-24
185.220.100.246/32  #  ITS-16365     ; Added on 2022-01-24
